Locale,File,Missing_Keys_Count,TODO_Entries_Count,Total_Tasks,Missing_Keys_List,TODO_Keys_List
bn,app_bn.arb,0,23,23,"","delete;participants;error;cut;paste;upcomingSessions;playtimeGameDeleted;playtimeReject;playtimeGameApproved;playtimeTitle;scheduledFor;playtimeAdminPanelTitle;playtimeApprove;createYourFirstSession;playtimeGameRejected;recentGames;confirmPassword;share;playtimeEnterGameName;createGame;playtimeNoSessions;playtimeParentDashboardTitle;playtimeChooseGame"
bn_BD,app_bn_BD.arb,19,0,19,"adminScreenTBD;back;clicked;close;createGame;failedToRevokeAccess;groupNameOptional;knownGroupDetected;link;managePermissions;meetingReadyMessage;myInvites;pendingInvites;playtimeChooseGame;playtimeNoSessions;playtimeParentDashboardTitle;pleaseLoginForFamilyFeatures;pollOptions;statusColon",""
bs,app_bs.arb,0,166,166,"","refresh;home;noSessionsYet;ok;playtimeLandingChooseMode;signUp;scheduleMessage;decline;adminBroadcast;login;playtimeChooseFriends;noInvites;playtimeChooseTime;success;undo;opened;createVirtualSession;messageSentSuccessfully;redo;next;search;cancelInviteConfirmation;created;revokeAccess;saveGroupForRecognition;playtimeLiveScheduled;revokeAccessConfirmation;download;password;errorLoadingFamilyLinks;cancel;playtimeCreate;failedToActionPrivacyRequest;appTitle;accept;playtimeModeVirtual;playtimeDescription;delete;playtimeVirtualStarted;createYourFirstGame;participants;recipients;noResults;yes;invite;playtimeModeLive;done;defaultShareMessage;no;playtimeHub;error;createLiveSession;enableNotifications;invited;content;meetingSharedSuccessfully;welcomeToPlaytime;viewAll;playtimeVirtual;staffScreenTBD;cut;inviteCancelledSuccessfully;retry;composeBroadcastMessage;sendNow;noGamesYet;select;about;choose;profile;removeChild;status;logout;paste;welcome;playtimeCreateSession;familyMembers;upload;upcomingSessions;enterGroupName;confirm;playtimeLive;errorLoadingInvites;targetingFilters;pickVideo;playtimeGameDeleted;scheduleForLater;accessRevokedSuccessfully;type;checkingPermissions;copy;yesCancel;email;shareOnWhatsApp;notificationSettings;myProfile;revoke;noBroadcastMessages;requestType;notifications;details;cancelInvite;createNew;settings;playtimeReject;errorLoadingProfile;edit;add;playtimeGameApproved;forgotPassword;familyDashboard;loading;quickActions;playtimeTitle;otpResentSuccessfully;errorCheckingPermissions;clientScreenTBD;fcmToken;pickImage;previous;noProfileFound;noFamilyMembersYet;mediaOptional;messageSavedSuccessfully;scheduledFor;dashboard;noPermissionForBroadcast;playtimeAdminPanelTitle;inviteDetail;scheduled;failedToResendOtp;scheduling;errorSavingMessage;save;playtimeApprove;createYourFirstSession;playtimeGameRejected;failedToRevokeAccess;recentGames;customizeMessage;failedToCancelInvite;errorSendingMessage;confirmPassword;errorLoadingPrivacyRequests;connectedChildren;share;playtimeEnterGameName;pleaseLoginForFamilyFeatures;myInvites;createGame;groupNameOptional;playtimeNoSessions;adminScreenTBD;playtimeParentDashboardTitle;close;knownGroupDetected;back;playtimeChooseGame;managePermissions;pollOptions;clicked;link;meetingReadyMessage;pendingInvites;statusColon;pleaseLoginToViewProfile"
de,app_de.arb,0,103,103,"","composeBroadcastMessage;sendNow;noGamesYet;select;about;choose;profile;removeChild;status;logout;paste;welcome;playtimeCreateSession;familyMembers;upload;upcomingSessions;enterGroupName;confirm;playtimeLive;errorLoadingInvites;targetingFilters;pickVideo;playtimeGameDeleted;scheduleForLater;accessRevokedSuccessfully;type;checkingPermissions;copy;yesCancel;email;shareOnWhatsApp;notificationSettings;myProfile;revoke;noBroadcastMessages;requestType;notifications;details;cancelInvite;createNew;settings;playtimeReject;errorLoadingProfile;edit;add;playtimeGameApproved;forgotPassword;familyDashboard;loading;quickActions;playtimeTitle;otpResentSuccessfully;errorCheckingPermissions;clientScreenTBD;fcmToken;pickImage;previous;noProfileFound;noFamilyMembersYet;mediaOptional;messageSavedSuccessfully;scheduledFor;dashboard;noPermissionForBroadcast;playtimeAdminPanelTitle;inviteDetail;scheduled;failedToResendOtp;scheduling;errorSavingMessage;save;playtimeApprove;createYourFirstSession;playtimeGameRejected;failedToRevokeAccess;recentGames;customizeMessage;failedToCancelInvite;errorSendingMessage;confirmPassword;errorLoadingPrivacyRequests;connectedChildren;share;playtimeEnterGameName;pleaseLoginForFamilyFeatures;myInvites;createGame;groupNameOptional;playtimeNoSessions;adminScreenTBD;playtimeParentDashboardTitle;close;knownGroupDetected;back;playtimeChooseGame;managePermissions;pollOptions;clicked;link;meetingReadyMessage;pendingInvites;statusColon;pleaseLoginToViewProfile"
es,app_es.arb,0,103,103,"","composeBroadcastMessage;sendNow;noGamesYet;select;about;choose;profile;removeChild;status;logout;paste;welcome;playtimeCreateSession;familyMembers;upload;upcomingSessions;enterGroupName;confirm;playtimeLive;errorLoadingInvites;targetingFilters;pickVideo;playtimeGameDeleted;scheduleForLater;accessRevokedSuccessfully;type;checkingPermissions;copy;yesCancel;email;shareOnWhatsApp;notificationSettings;myProfile;revoke;noBroadcastMessages;requestType;notifications;details;cancelInvite;createNew;settings;playtimeReject;errorLoadingProfile;edit;add;playtimeGameApproved;forgotPassword;familyDashboard;loading;quickActions;playtimeTitle;otpResentSuccessfully;errorCheckingPermissions;clientScreenTBD;fcmToken;pickImage;previous;noProfileFound;noFamilyMembersYet;mediaOptional;messageSavedSuccessfully;scheduledFor;dashboard;noPermissionForBroadcast;playtimeAdminPanelTitle;inviteDetail;scheduled;failedToResendOtp;scheduling;errorSavingMessage;save;playtimeApprove;createYourFirstSession;playtimeGameRejected;failedToRevokeAccess;recentGames;customizeMessage;failedToCancelInvite;errorSendingMessage;confirmPassword;errorLoadingPrivacyRequests;connectedChildren;share;playtimeEnterGameName;pleaseLoginForFamilyFeatures;myInvites;createGame;groupNameOptional;playtimeNoSessions;adminScreenTBD;playtimeParentDashboardTitle;close;knownGroupDetected;back;playtimeChooseGame;managePermissions;pollOptions;clicked;link;meetingReadyMessage;pendingInvites;statusColon;pleaseLoginToViewProfile"
fr,app_fr.arb,0,103,103,"","composeBroadcastMessage;sendNow;noGamesYet;select;about;choose;profile;removeChild;status;logout;paste;welcome;playtimeCreateSession;familyMembers;upload;upcomingSessions;enterGroupName;confirm;playtimeLive;errorLoadingInvites;targetingFilters;pickVideo;playtimeGameDeleted;scheduleForLater;accessRevokedSuccessfully;type;checkingPermissions;copy;yesCancel;email;shareOnWhatsApp;notificationSettings;myProfile;revoke;noBroadcastMessages;requestType;notifications;details;cancelInvite;createNew;settings;playtimeReject;errorLoadingProfile;edit;add;playtimeGameApproved;forgotPassword;familyDashboard;loading;quickActions;playtimeTitle;otpResentSuccessfully;errorCheckingPermissions;clientScreenTBD;fcmToken;pickImage;previous;noProfileFound;noFamilyMembersYet;mediaOptional;messageSavedSuccessfully;scheduledFor;dashboard;noPermissionForBroadcast;playtimeAdminPanelTitle;inviteDetail;scheduled;failedToResendOtp;scheduling;errorSavingMessage;save;playtimeApprove;createYourFirstSession;playtimeGameRejected;failedToRevokeAccess;recentGames;customizeMessage;failedToCancelInvite;errorSendingMessage;confirmPassword;errorLoadingPrivacyRequests;connectedChildren;share;playtimeEnterGameName;pleaseLoginForFamilyFeatures;myInvites;createGame;groupNameOptional;playtimeNoSessions;adminScreenTBD;playtimeParentDashboardTitle;close;knownGroupDetected;back;playtimeChooseGame;managePermissions;pollOptions;clicked;link;meetingReadyMessage;pendingInvites;statusColon;pleaseLoginToViewProfile"
gl,app_gl.arb,0,166,166,"","refresh;home;noSessionsYet;ok;playtimeLandingChooseMode;signUp;scheduleMessage;decline;adminBroadcast;login;playtimeChooseFriends;noInvites;playtimeChooseTime;success;undo;opened;createVirtualSession;messageSentSuccessfully;redo;next;search;cancelInviteConfirmation;created;revokeAccess;saveGroupForRecognition;playtimeLiveScheduled;revokeAccessConfirmation;download;password;errorLoadingFamilyLinks;cancel;playtimeCreate;failedToActionPrivacyRequest;appTitle;accept;playtimeModeVirtual;playtimeDescription;delete;playtimeVirtualStarted;createYourFirstGame;participants;recipients;noResults;yes;invite;playtimeModeLive;done;defaultShareMessage;no;playtimeHub;error;createLiveSession;enableNotifications;invited;content;meetingSharedSuccessfully;welcomeToPlaytime;viewAll;playtimeVirtual;staffScreenTBD;cut;inviteCancelledSuccessfully;retry;composeBroadcastMessage;sendNow;noGamesYet;select;about;choose;profile;removeChild;status;logout;paste;welcome;playtimeCreateSession;familyMembers;upload;upcomingSessions;enterGroupName;confirm;playtimeLive;errorLoadingInvites;targetingFilters;pickVideo;playtimeGameDeleted;scheduleForLater;accessRevokedSuccessfully;type;checkingPermissions;copy;yesCancel;email;shareOnWhatsApp;notificationSettings;myProfile;revoke;noBroadcastMessages;requestType;notifications;details;cancelInvite;createNew;settings;playtimeReject;errorLoadingProfile;edit;add;playtimeGameApproved;forgotPassword;familyDashboard;loading;quickActions;playtimeTitle;otpResentSuccessfully;errorCheckingPermissions;clientScreenTBD;fcmToken;pickImage;previous;noProfileFound;noFamilyMembersYet;mediaOptional;messageSavedSuccessfully;scheduledFor;dashboard;noPermissionForBroadcast;playtimeAdminPanelTitle;inviteDetail;scheduled;failedToResendOtp;scheduling;errorSavingMessage;save;playtimeApprove;createYourFirstSession;playtimeGameRejected;failedToRevokeAccess;recentGames;customizeMessage;failedToCancelInvite;errorSendingMessage;confirmPassword;errorLoadingPrivacyRequests;connectedChildren;share;playtimeEnterGameName;pleaseLoginForFamilyFeatures;myInvites;createGame;groupNameOptional;playtimeNoSessions;adminScreenTBD;playtimeParentDashboardTitle;close;knownGroupDetected;back;playtimeChooseGame;managePermissions;pollOptions;clicked;link;meetingReadyMessage;pendingInvites;statusColon;pleaseLoginToViewProfile"
he,app_he.arb,19,0,19,"adminScreenTBD;back;clicked;close;createGame;failedToRevokeAccess;groupNameOptional;knownGroupDetected;link;managePermissions;meetingReadyMessage;myInvites;pendingInvites;playtimeChooseGame;playtimeNoSessions;playtimeParentDashboardTitle;pleaseLoginForFamilyFeatures;pollOptions;statusColon",""
it,app_it.arb,0,103,103,"","composeBroadcastMessage;sendNow;noGamesYet;select;about;choose;profile;removeChild;status;logout;paste;welcome;playtimeCreateSession;familyMembers;upload;upcomingSessions;enterGroupName;confirm;playtimeLive;errorLoadingInvites;targetingFilters;pickVideo;playtimeGameDeleted;scheduleForLater;accessRevokedSuccessfully;type;checkingPermissions;copy;yesCancel;email;shareOnWhatsApp;notificationSettings;myProfile;revoke;noBroadcastMessages;requestType;notifications;details;cancelInvite;createNew;settings;playtimeReject;errorLoadingProfile;edit;add;playtimeGameApproved;forgotPassword;familyDashboard;loading;quickActions;playtimeTitle;otpResentSuccessfully;errorCheckingPermissions;clientScreenTBD;fcmToken;pickImage;previous;noProfileFound;noFamilyMembersYet;mediaOptional;messageSavedSuccessfully;scheduledFor;dashboard;noPermissionForBroadcast;playtimeAdminPanelTitle;inviteDetail;scheduled;failedToResendOtp;scheduling;errorSavingMessage;save;playtimeApprove;createYourFirstSession;playtimeGameRejected;failedToRevokeAccess;recentGames;customizeMessage;failedToCancelInvite;errorSendingMessage;confirmPassword;errorLoadingPrivacyRequests;connectedChildren;share;playtimeEnterGameName;pleaseLoginForFamilyFeatures;myInvites;createGame;groupNameOptional;playtimeNoSessions;adminScreenTBD;playtimeParentDashboardTitle;close;knownGroupDetected;back;playtimeChooseGame;managePermissions;pollOptions;clicked;link;meetingReadyMessage;pendingInvites;statusColon;pleaseLoginToViewProfile"
ja,app_ja.arb,0,19,19,"","failedToRevokeAccess;pleaseLoginForFamilyFeatures;myInvites;createGame;groupNameOptional;playtimeNoSessions;adminScreenTBD;playtimeParentDashboardTitle;close;knownGroupDetected;back;playtimeChooseGame;managePermissions;pollOptions;clicked;link;meetingReadyMessage;pendingInvites;statusColon"
