Locale,Key,English Value,Type
am,"about1","About",missing
am,"accept1","Accept",missing
am,"activateBusinessProfile","Activate Business Profile",missing
am,"activityLogaction","Activity: {action}",missing
am,"add1","Add",missing
am,"addAvailability","Add Availability",missing
am,"addNewClient","Add New Client",missing
am,"addNewRoom","Add New Room",missing
am,"addProvider","Add Provider",missing
am,"addQuestion","Add Question",missing
am,"admin","Admin",missing
am,"adminBroadcast","Admin Broadcast",missing
am,"adminDashboard","Admin Dashboard",missing
am,"adminFreeAccess","Admin Free Access",missing
am,"adminLogadminemail","Admin: {adminEmail}",missing
am,"adminMetrics","Admin Metrics",missing
am,"adminOverviewGoesHere","Admin overview goes here",missing
am,"adminScreenTBD","Admin screen coming soon",missing
am,"adminSettings","Admin Settings",missing
am,"advancedReporting","• Advanced reporting",missing
am,"allCountries","All Countries",missing
am,"allLanguages","All Languages",missing
am,"REDACTED_TOKEN","Allow other users to find and join this game",missing
am,"allowPlaytime","Allow Playtime",missing
am,"ambassadorDashboard","Ambassador Dashboard",missing
am,"ambassadorOnboarding","Ambassador Onboarding",missing
am,"ambassadorQuotaDashboard","Ambassador Quota Dashboard",missing
am,"REDACTED_TOKEN","Ambassador Status: {ambassadorStatus}",missing
am,"ambassadors","Ambassadors",missing
am,"analytics","Analytics",missing
am,"appVersionAndInformation","App version and information",missing
am,"appVersionLogappversion","App Version: {appVersion}",missing
am,"apply","Apply",missing
am,"appointmentAppointmentid","Appointment {appointmentId}",missing
am,"appointmentApptid","Appointment: {appointmentId}",missing
am,"appointmentInviteappointmentid","Appointment: {appointmentId}",missing
am,"appointmentRequests","Appointment Requests",missing
am,"appointments","Appointments",missing
am,"appointmentsListlength","Appointments: {count}",missing
am,"approve","Approve",missing
am,"REDACTED_TOKEN","Are you sure you want to cancel this appointment?",missing
am,"REDACTED_TOKEN","Are you sure you want to delete this appointment?",missing
am,"REDACTED_TOKEN","Are you sure you want to delete this message?",missing
am,"REDACTED_TOKEN","Are you sure you want to delete this provider?",missing
am,"REDACTED_TOKEN","An account already exists with this email using a different sign-in method.",missing
am,"authErrorAppNotAuthorized","This app is not authorized to use Firebase Authentication.",missing
am,"authErrorCodeExpired","The verification code has expired. Please request a new one.",missing
am,"authErrorCredentialAlreadyInUse","These credentials are already associated with another account.",missing
am,"authErrorEmailAlreadyInUse","An account with this email already exists.",missing
am,"REDACTED_TOKEN","Email change requires verification.",missing
am,"authErrorIdTokenExpired","The ID token has expired.",missing
am,"authErrorIdTokenRevoked","The ID token has been revoked.",missing
am,"authErrorInternalError","An internal error occurred. Please try again.",missing
am,"authErrorInvalidArgument","An invalid argument was provided.",missing
am,"authErrorInvalidClaims","Invalid custom claims provided.",missing
am,"authErrorInvalidContinueUri","The continue URL is invalid.",missing
am,"authErrorInvalidCreationTime","The creation time is invalid.",missing
am,"authErrorInvalidCredential","Invalid credentials. Please try again.",missing
am,"authErrorInvalidDisabledField","The disabled field value is invalid.",missing
am,"authErrorInvalidDisplayName","The display name is invalid.",missing
am,"REDACTED_TOKEN","The dynamic link domain is invalid.",missing
am,"authErrorInvalidEmail","Please enter a valid email address.",missing
am,"authErrorInvalidEmailVerified","The email verified value is invalid.",missing
am,"authErrorInvalidHashAlgorithm","The hash algorithm is invalid.",missing
am,"authErrorInvalidHashBlockSize","The hash block size is invalid.",missing
am,"REDACTED_TOKEN","The hash derived key length is invalid.",missing
am,"authErrorInvalidHashKey","The hash key is invalid.",missing
am,"authErrorInvalidHashMemoryCost","The hash memory cost is invalid.",missing
am,"REDACTED_TOKEN","The hash parallelization is invalid.",missing
am,"authErrorInvalidHashRounds","The hash rounds value is invalid.",missing
am,"REDACTED_TOKEN","The hash salt separator is invalid.",missing
am,"authErrorInvalidIdToken","The ID token is invalid.",missing
am,"authErrorInvalidLastSignInTime","The last sign-in time is invalid.",missing
am,"REDACTED_TOKEN","Invalid multi-factor session.",missing
am,"authErrorInvalidPageToken","The page token is invalid.",missing
am,"authErrorInvalidPassword","The password is invalid or too weak.",missing
am,"authErrorInvalidPhoneNumber","The phone number is invalid.",missing
am,"authErrorInvalidProviderData","The provider data is invalid.",missing
am,"authErrorInvalidProviderId","The provider ID is invalid.",missing
am,"REDACTED_TOKEN","The session cookie duration is invalid.",missing
am,"authErrorInvalidUid","The UID is invalid.",missing
am,"authErrorInvalidUserImport","The user import record is invalid.",missing
am,"REDACTED_TOKEN","The verification code is invalid.",missing
am,"authErrorInvalidVerificationId","The verification ID is invalid.",missing
am,"REDACTED_TOKEN","Maximum number of second factors exceeded.",missing
am,"REDACTED_TOKEN","Maximum user import count exceeded.",missing
am,"authErrorMissingAndroidPkgName","Missing Android package name.",missing
am,"authErrorMissingContinueUri","Missing continue URL.",missing
am,"authErrorMissingHashAlgorithm","Missing hash algorithm.",missing
am,"authErrorMissingIosBundleId","Missing iOS bundle ID.",missing
am,"REDACTED_TOKEN","Missing multi-factor session.",missing
am,"REDACTED_TOKEN","Missing OAuth client secret.",missing
am,"authErrorMissingPhoneNumber","Please enter a phone number.",missing
am,"authErrorMissingUid","Missing UID.",missing
am,"REDACTED_TOKEN","Please enter the verification code.",missing
am,"authErrorMissingVerificationId","Missing verification ID.",missing
am,"REDACTED_TOKEN","Multi-factor authentication is required.",missing
am,"REDACTED_TOKEN","Multi-factor information not found.",missing
am,"authErrorNetworkRequestFailed","Network error. Please check your connection and try again.",missing
am,"authErrorOperationNotAllowed","This sign-in method is not enabled. Please contact support.",missing
am,"REDACTED_TOKEN","This phone number is already in use.",missing
am,"authErrorProjectNotFound","Firebase project not found.",missing
am,"authErrorQuotaExceeded","The SMS quota for this project has been exceeded. Please try again later.",missing
am,"authErrorRequiresRecentLogin","Please log in again to perform this operation.",missing
am,"authErrorReservedClaims","Reserved claims provided.",missing
am,"REDACTED_TOKEN","This second factor is already in use.",missing
am,"authErrorSessionCookieExpired","Session cookie has expired.",missing
am,"authErrorSessionCookieRevoked","Session cookie has been revoked.",missing
am,"authErrorSessionExpired","Your session has expired. Please log in again.",missing
am,"authErrorTooManyRequests","Too many failed attempts. Please try again later.",missing
am,"authErrorUidAlreadyExists","The UID is already in use.",missing
am,"REDACTED_TOKEN","The continue URL domain is not whitelisted.",missing
am,"authErrorUnknown","An unknown authentication error occurred.",missing
am,"authErrorUnsupportedFirstFactor","Unsupported first factor for multi-factor authentication.",missing
am,"authErrorUserDisabled","This account has been disabled. Please contact support.",missing
am,"authErrorUserNotFound","No account found with this email address.",missing
am,"authErrorWeakPassword","Password is too weak. Please choose a stronger password.",missing
am,"authErrorWrongPassword","Incorrect password. Please try again.",missing
am,"autoconfirmBookings","Auto-Confirm Bookings",missing
am,"REDACTED_TOKEN","Automatically confirm new booking requests",missing
am,"availability","Availability",missing
am,"backgroundApproved","Background approved!",missing
am,"backgroundDeletedSuccessfully","Background deleted successfully!",missing
am,"backgroundRejected","Background rejected",missing
am,"backgroundUploadedSuccessfully","Background uploaded successfully!",missing
am,"becomeAnAmbassador","Become an Ambassador",missing
am,"bookAppointment","Book Appointment",missing
am,"bookViaChat","Book via Chat",missing
am,"booking","Booking",missing
am,"bookingConfirmed","Booking Confirmed",missing
am,"bookingRequest","Booking Request",missing
am,"bookings","Bookings",untranslated
am,"branchesLengthBranches","{branchCount} branches",missing
am,"broadcast","Broadcast",missing
am,"REDACTED_TOKEN","Business Appointments Entry Screen - Coming Soon",missing
am,"businessAvailability","Business Availability",missing
am,"REDACTED_TOKEN","Business Availability Entry Screen - Coming Soon",missing
am,"REDACTED_TOKEN","Business Booking Entry Screen - Coming Soon",missing
am,"businessCalendar","Business Calendar",missing
am,"REDACTED_TOKEN","Business Completion Screen - Coming Soon",missing
am,"REDACTED_TOKEN","Business CRM Entry Screen - Coming Soon",missing
am,"businessDashboard","Business Dashboard",missing
am,"REDACTED_TOKEN","Business Dashboard Entry Screen - Coming Soon",missing
am,"businessLogin","Business Login",missing
am,"businessLoginScreenComingSoon","Business Login Screen - Coming Soon",missing
am,"businessOnboarding","Business Onboarding",missing
am,"REDACTED_TOKEN","Business Onboarding Screen - Coming Soon",missing
am,"REDACTED_TOKEN","Business Phone Booking Entry Screen - Coming Soon",missing
am,"businessProfile","Business Profile",missing
am,"REDACTED_TOKEN","Business profile activated successfully!",missing
am,"REDACTED_TOKEN","Business Profile Entry Screen - Coming Soon",missing
